city_name,state,dealer_count
Anchorage,AK,1
Fairbanks,AK,1
Juneau,AK,1
Birmingham,AL,2
Mobile,AL,2
Albertville,AL,1
Anniston,AL,1
Auburn,AL,1
Clanton,AL,1
Daphne,AL,1
Decatur,AL,1
Dothan,AL,1
Enterprise,AL,1
Hoover,AL,1
Huntsville,AL,1
Jasper,AL,1
Montgomery,AL,1
Rainbow City,AL,1
Scottsboro,AL,1
Sylacauga,AL,1
Tuscaloosa,AL,1
Tuscumbia,AL,1
Little Rock,AR,2
Conway,AR,1
El Dorado,AR,1
Fayetteville,AR,1
Fort Smith,AR,1
Harrison,AR,1
Hot Springs,AR,1
Jonesboro,AR,1
Monticello,AR,1
Pine Bluff,AR,1
Rogers,AR,1
Russellville,AR,1
Searcy,AR,1
Wynne,AR,1
Mesa,AZ,2
Phoenix,AZ,2
Tucson,AZ,2
Avondale,AZ,1
Chandler,AZ,1
Flagstaff,AZ,1
Lake Havasu City,AZ,1
Peoria,AZ,1
Prescott,AZ,1
Scottsdale,AZ,1
Show Low,AZ,1
Sierra Vista,AZ,1
Surprise,AZ,1
Tempe,AZ,1
Yuma,AZ,1
San Diego,CA,3
Bakersfield,CA,2
Long Beach,CA,2
Los Angeles,CA,2
Oakland,CA,2
San Jose,CA,2
Alhambra,CA,1
Anaheim,CA,1
Antioch,CA,1
Auburn,CA,1
Barstow,CA,1
Berkeley,CA,1
Bishop,CA,1
Buena Park,CA,1
Burlingame,CA,1
Capitola,CA,1
Carlsbad,CA,1
Carson,CA,1
Cathedral City,CA,1
Cerritos,CA,1
Chico,CA,1
Chula Vista,CA,1
City Of Industry,CA,1
Claremont,CA,1
Clovis,CA,1
Concord,CA,1
Corona,CA,1
Costa Mesa,CA,1
Covina,CA,1
Culver City,CA,1
Daly City,CA,1
Davis,CA,1
Downey,CA,1
Dublin,CA,1
El Cajon,CA,1
El Monte,CA,1
Elk Grove,CA,1
Escondido,CA,1
Eureka,CA,1
Fairfield,CA,1
Folsom,CA,1
Fremont,CA,1
Fresno,CA,1
Garden Grove,CA,1
Gardena,CA,1
Gilroy,CA,1
Glendale,CA,1
Glendora,CA,1
Goleta,CA,1
Hanford,CA,1
Hayward,CA,1
Hemet,CA,1
Hollywood,CA,1
Huntington Beach,CA,1
Imperial,CA,1
Indio,CA,1
Irvine,CA,1
La Crescenta,CA,1
Lake Tahoe,CA,1
Lancaster,CA,1
Lemon Grove,CA,1
Livermore,CA,1
Lodi,CA,1
Lompoc,CA,1
Madera,CA,1
Manhattan Beach,CA,1
Marina Del Rey,CA,1
Merced,CA,1
Milpitas,CA,1
Mission Hills,CA,1
Modesto,CA,1
Moreno Valley,CA,1
Napa,CA,1
National City,CA,1
Northridge,CA,1
Norwalk,CA,1
Novato,CA,1
Ontario,CA,1
Orange,CA,1
Oroville,CA,1
Oxnard,CA,1
Palo Alto,CA,1
Pasadena,CA,1
Petaluma,CA,1
Placerville,CA,1
Poway,CA,1
Rancho Santa Margarita,CA,1
Redding,CA,1
Redlands,CA,1
Redwood City,CA,1
Richmond,CA,1
Ridgecrest,CA,1
Riverside,CA,1
Roseville,CA,1
Sacramento,CA,1
Salinas,CA,1
San Bernardino,CA,1
San Bruno,CA,1
San Francisco,CA,1
San Juan Capistrano,CA,1
San Luis Obispo,CA,1
San Rafael,CA,1
Santa Maria,CA,1
Santa Monica,CA,1
Santa Rosa,CA,1
Seaside,CA,1
Selma,CA,1
Simi Valley,CA,1
Stockton,CA,1
Sunnyvale,CA,1
Temecula,CA,1
Thousand Oaks,CA,1
Torrance,CA,1
Tracy,CA,1
Tustin,CA,1
Ukiah,CA,1
Vacaville,CA,1
Valencia,CA,1
Vallejo,CA,1
Van Nuys,CA,1
Ventura,CA,1
Victorville,CA,1
Visalia,CA,1
Walnut Creek,CA,1
Westminster,CA,1
Whittier,CA,1
Yuba City,CA,1
Colorado Springs,CO,2
Aurora,CO,1
Boulder,CO,1
Centennial,CO,1
Delta,CO,1
Denver,CO,1
Durango,CO,1
Englewood,CO,1
Fort Morgan,CO,1
Frederick,CO,1
Ft Collins,CO,1
Glenwood Springs,CO,1
Grand Junction,CO,1
Greeley,CO,1
Lakewood,CO,1
Montrose,CO,1
Pueblo,CO,1
Trinidad,CO,1
Bristol,CT,1
Colchester,CT,1
Cos Cob,CT,1
Danbury,CT,1
Enfield,CT,1
Hartford,CT,1
Litchfield,CT,1
Manchester,CT,1
Middletown,CT,1
Milford,CT,1
New Haven,CT,1
New London,CT,1
Norwich,CT,1
Simsbury,CT,1
Stamford,CT,1
Torrington,CT,1
Wallingford,CT,1
Watertown,CT,1
Westbrook,CT,1
Westport,CT,1
Dover,DE,1
Milford,DE,1
New Castle,DE,1
Newark,DE,1
Jacksonville,FL,4
Miami,FL,3
Tampa,FL,3
Bradenton,FL,2
Orlando,FL,2
Clearwater,FL,1
Clermont,FL,1
Cocoa,FL,1
Coconut Creek,FL,1
Davie,FL,1
Daytona Beach,FL,1
Deerfield Beach,FL,1
Deland,FL,1
Delray Beach,FL,1
Doral,FL,1
Ft Walton Beach,FL,1
Ft. Lauderdale,FL,1
Ft. Myers,FL,1
Ft. Pierce,FL,1
Gainesville,FL,1
Haines City,FL,1
Hialeah,FL,1
Holiday,FL,1
Hollywood,FL,1
Homestead,FL,1
Homosassa,FL,1
Key West,FL,1
Lake City,FL,1
Lake Park,FL,1
Lakeland,FL,1
Leesburg,FL,1
Marianna,FL,1
Melbourne,FL,1
Naples,FL,1
Ocala,FL,1
Palm Beach,FL,1
Panama City,FL,1
Pensacola,FL,1
Pinellas Park,FL,1
Punta Gorda,FL,1
Royal Palm Beach,FL,1
Sanford,FL,1
Sarasota,FL,1
Sebring,FL,1
St. Augustine,FL,1
Stuart,FL,1
Tallahassee,FL,1
Venice,FL,1
Vero Beach,FL,1
Wesley Chapel,FL,1
Winter Park,FL,1
Atlanta,GA,2
Savannah,GA,2
Albany,GA,1
Athens,GA,1
Augusta,GA,1
Brunswick,GA,1
Buford,GA,1
Canton,GA,1
Columbus,GA,1
Cumming,GA,1
Dalton,GA,1
Dublin,GA,1
Duluth,GA,1
Gainesville,GA,1
Kennesaw,GA,1
LaGrange,GA,1
Lilburn,GA,1
Lithia Springs,GA,1
Lithonia,GA,1
Macon,GA,1
Marietta,GA,1
McDonough,GA,1
Milledgeville,GA,1
Morrow,GA,1
Newnan,GA,1
Rome,GA,1
Roswell,GA,1
Statesboro,GA,1
Thomasville,GA,1
Tifton,GA,1
Union City,GA,1
Valdosta,GA,1
Warner Robins,GA,1
Waycross,GA,1
Ames,IA,1
Burlington,IA,1
Carroll,IA,1
Cedar Falls,IA,1
Clinton,IA,1
Davenport,IA,1
Dubuque,IA,1
Fort Dodge,IA,1
Grimes,IA,1
Hiawatha,IA,1
Iowa City,IA,1
Mason City,IA,1
Muscatine,IA,1
Ottumwa,IA,1
Sioux City,IA,1
Spirit Lake,IA,1
Boise,ID,1
Coeur d'Alene,ID,1
Idaho Falls,ID,1
Lewiston,ID,1
Nampa,ID,1
Pocatello,ID,1
Rexburg,ID,1
Twin Falls,ID,1
Chicago,IL,4
Alton,IL,1
Bloomington,IL,1
Bourbonnais,IL,1
Calumet City,IL,1
Crystal Lake,IL,1
DeKalb,IL,1
Decatur,IL,1
Dixon,IL,1
Effingham,IL,1
Elmhurst,IL,1
Fox Lake,IL,1
Galesburg,IL,1
Hodgkins,IL,1
Libertyville,IL,1
Lincolnwood,IL,1
Lombard,IL,1
Loves Park,IL,1
Macomb,IL,1
Marion,IL,1
Matteson,IL,1
Mattoon,IL,1
Moline,IL,1
Mt Vernon,IL,1
Naperville,IL,1
Northbrook,IL,1
O'Fallon,IL,1
Oak Lawn,IL,1
Ottawa,IL,1
Palatine,IL,1
Park Ridge,IL,1
Pekin,IL,1
Peoria,IL,1
Quincy,IL,1
Romeoville,IL,1
Schaumburg,IL,1
Springfield,IL,1
St. Charles,IL,1
Streamwood,IL,1
Tilton,IL,1
Tinley Park,IL,1
Urbana,IL,1
Waukegan,IL,1
Westmont,IL,1
Indianapolis,IN,3
Fort Wayne,IN,2
Avon,IN,1
Bend,IN,1
Bloomington,IN,1
Burns Harbor,IN,1
Clarksville,IN,1
Elkhart,IN,1
Evansville,IN,1
Jasper,IN,1
Kokomo,IN,1
Lafayette,IN,1
Madison,IN,1
Merrillville,IN,1
Mishawaka,IN,1
Muncie,IN,1
Noblesville,IN,1
Richmond,IN,1
Schererville,IN,1
Taylorsville,IN,1
Terre Haute,IN,1
Warsaw,IN,1
Whitestown,IN,1
Dodge City,KS,1
Emporia,KS,1
Ft Scott,KS,1
Garden City,KS,1
Hays,KS,1
Hutchinson,KS,1
Independence,KS,1
Kansas City,KS,1
Lawrence,KS,1
Manhattan,KS,1
Merriam,KS,1
Olathe,KS,1
Salina,KS,1
Topeka,KS,1
Wichita,KS,1
Louisville,KY,2
Ashland,KY,1
Bowling Green,KY,1
Corbin,KY,1
Dry Ridge,KY,1
Elizabethtown,KY,1
Florence,KY,1
Frankfort,KY,1
Hopkinsville,KY,1
Lexington,KY,1
Madisonville,KY,1
Murray,KY,1
Nicholasville,KY,1
Owensboro,KY,1
Paducah,KY,1
Pikeville,KY,1
Prestonsburg,KY,1
Richmond,KY,1
Somerset,KY,1
Baton Rouge,LA,3
Alexandria,LA,1
Bastrop,LA,1
Bossier City,LA,1
Covington,LA,1
Hammond,LA,1
Harvey,LA,1
Houma,LA,1
Jennings,LA,1
Kenner,LA,1
Lafayette,LA,1
Lake Charles,LA,1
Leesville,LA,1
Metairie,LA,1
Monroe,LA,1
Morgan City,LA,1
New Iberia,LA,1
New Orleans,LA,1
Opelousas,LA,1
Ruston,LA,1
Shreveport,LA,1
Slidell,LA,1
Boston,MA,2
Adams,MA,1
Attleboro,MA,1
Auburn,MA,1
Bourne,MA,1
Braintree,MA,1
Brockton,MA,1
Danvers,MA,1
Dartmouth,MA,1
Dorchester,MA,1
Dudley,MA,1
Framingham,MA,1
Greenfield,MA,1
Hanover,MA,1
Haverhill,MA,1
Hyannis,MA,1
Kingston,MA,1
Lancaster,MA,1
Lexington,MA,1
Littleton,MA,1
Lynn,MA,1
Milford,MA,1
Northampton,MA,1
Norwood,MA,1
Orleans,MA,1
Pittsfield,MA,1
Raynham,MA,1
Springfield,MA,1
Swansea,MA,1
Tewksbury,MA,1
Watertown,MA,1
Wellesley,MA,1
Westborough,MA,1
Wilbraham,MA,1
Woburn,MA,1
Worcester,MA,1
Baltimore,MD,3
Annapolis,MD,1
Bel Air,MD,1
Bethesda,MD,1
Bowie,MD,1
Clarksville,MD,1
Cockeysville,MD,1
Easton,MD,1
Edgewood,MD,1
Frederick,MD,1
Gaithersburg,MD,1
Glen Burnie,MD,1
Hagerstown,MD,1
Laurel,MD,1
Lexington Park,MD,1
Owings Mills,MD,1
Pocomoke City,MD,1
Prince Frederick,MD,1
Rockville,MD,1
Salisbury,MD,1
Silver Spring,MD,1
Suitland,MD,1
Waldorf,MD,1
Westminster,MD,1
Auburn,ME,1
Augusta,ME,1
Brewer,ME,1
Houlton,ME,1
Portland,ME,1
Rockland,ME,1
Saco,ME,1
Topsham,ME,1
Waterville,ME,1
Grand Rapids,MI,2
Ann Arbor,MI,1
Battle Creek,MI,1
Bay City,MI,1
Benton Harbor,MI,1
Cadillac,MI,1
Canton,MI,1
Cheboygan,MI,1
Dearborn,MI,1
Dundee,MI,1
Escanaba,MI,1
Farmington Hills,MI,1
Grand Blanc,MI,1
Holland,MI,1
Iron Mountain,MI,1
Kalamazoo,MI,1
Lansing,MI,1
Macomb,MI,1
Marquette,MI,1
Muskegon,MI,1
Rochester Hills,MI,1
Saginaw,MI,1
Southfield,MI,1
Traverse City,MI,1
Troy,MI,1
Warren,MI,1
Waterford,MI,1
Baxter,MN,1
Bemidji,MN,1
Bloomington,MN,1
Brooklyn Center,MN,1
Burnsville,MN,1
Coon Rapids,MN,1
Duluth,MN,1
Fergus Falls,MN,1
Golden Valley,MN,1
Inver Grove Heights,MN,1
Mankato,MN,1
Maplewood,MN,1
Rochester,MN,1
Virginia,MN,1
Waite Park,MN,1
Willmar,MN,1
Winona,MN,1
Kansas City,MO,2
St. Louis,MO,2
Ballwin,MO,1
Cape Girardeau,MO,1
Columbia,MO,1
Creve Coeur,MO,1
Hazelwood,MO,1
Herculaneum,MO,1
Jefferson City,MO,1
Joplin,MO,1
Kirksville,MO,1
Kirkwood,MO,1
Lee's Summit,MO,1
Plains,MO,1
Poplar Bluff,MO,1
Sedalia,MO,1
Springfield,MO,1
St Peters,MO,1
St. Joseph,MO,1
St. Robert,MO,1
Washington,MO,1
Brandon,MS,1
Brookhaven,MS,1
Columbus,MS,1
Greenville,MS,1
Grenada,MS,1
Gulfport,MS,1
Hattiesburg,MS,1
Hernando,MS,1
Jackson,MS,1
Laurel,MS,1
Meridian,MS,1
Moss Point,MS,1
Natchez,MS,1
Oxford,MS,1
Philadelphia,MS,1
Saltillo,MS,1
Vicksburg,MS,1
Billings,MT,1
Bozeman,MT,1
Butte,MT,1
Great Falls,MT,1
Helena,MT,1
Kalispell,MT,1
Missoula,MT,1
Raleigh,NC,2
Apex,NC,1
Asheboro,NC,1
Asheville,NC,1
Boone,NC,1
Burlington,NC,1
Charlotte,NC,1
Clinton,NC,1
Concord,NC,1
Durham,NC,1
Elizabeth City,NC,1
Fayetteville,NC,1
Gastonia,NC,1
Goldsboro,NC,1
Greensboro,NC,1
Greenville,NC,1
Hamlet,NC,1
Henderson,NC,1
Hendersonville,NC,1
Hickory,NC,1
High Point,NC,1
Huntersville,NC,1
Jacksonville,NC,1
Kinston,NC,1
Lumberton,NC,1
Matthews,NC,1
Mount Airy,NC,1
New Bern,NC,1
Roanoke Rapids,NC,1
Rocky Mount,NC,1
Salisbury,NC,1
Sanford,NC,1
Southern Pines,NC,1
Statesville,NC,1
Washington,NC,1
Wilkesboro,NC,1
Wilmington,NC,1
Wilson,NC,1
Winston-Salem,NC,1
Bismarck,ND,1
Devils Lake,ND,1
Dickinson,ND,1
Fargo,ND,1
Grand Forks,ND,1
Jamestown,ND,1
Minot,ND,1
Bellevue,NE,1
Columbus,NE,1
Grand Island,NE,1
La Vista,NE,1
Lincoln,NE,1
McCook,NE,1
Omaha,NE,1
Platte,NE,1
Scottsbluff,NE,1
Bow,NH,1
Claremont,NH,1
Dover,NH,1
Epping,NH,1
Gorham,NH,1
Laconia,NH,1
Manchester,NH,1
Nashua,NH,1
Portsmouth,NH,1
Rochester,NH,1
Salem,NH,1
Swanzey,NH,1
Avenel,NJ,1
Brunswick,NJ,1
Burlington,NJ,1
Caldwell,NJ,1
Clinton,NJ,1
Dayton,NJ,1
Eatontown,NJ,1
Englewood Cliffs,NJ,1
Fair Lawn,NJ,1
Flemington,NJ,1
Freehold,NJ,1
Green Brook,NJ,1
Hackensack,NJ,1
Hillside,NJ,1
Jersey City,NJ,1
Lakewood,NJ,1
Lawrenceville,NJ,1
Ledgewood,NJ,1
Little Falls,NJ,1
Mays Landing,NJ,1
Morristown,NJ,1
Mount Laurel,NJ,1
Newton,NJ,1
Pompton Plains,NJ,1
Ramsey,NJ,1
Runnemede,NJ,1
Springfield,NJ,1
Toms River,NJ,1
Turnersville,NJ,1
Vineland,NJ,1
Wood Ridge,NJ,1
Albuquerque,NM,2
Alamogordo,NM,1
Clovis,NM,1
Farmington,NM,1
Gallup,NM,1
Hobbs,NM,1
Las Cruces,NM,1
Roswell,NM,1
Santa Fe,NM,1
Silver City,NM,1
Las Vegas,NV,3
Carson City,NV,1
Elko,NV,1
Fallon,NV,1
Henderson,NV,1
Reno,NV,1
Rochester,NY,3
Bronx,NY,2
Brooklyn,NY,2
Airmont,NY,1
Amherst,NY,1
Auburn,NY,1
Batavia,NY,1
Bayside,NY,1
Binghamton,NY,1
Blauvelt,NY,1
Canandaigua,NY,1
Cicero,NY,1
Cortlandt Manor,NY,1
Elmira,NY,1
Endicott,NY,1
Glens Falls,NY,1
Grand Island,NY,1
Greenvale,NY,1
Hempstead,NY,1
Hudson,NY,1
Huntington Station,NY,1
Islip,NY,1
Ithaca,NY,1
Jamaica,NY,1
Johnstown,NY,1
Kingston,NY,1
Lakewood,NY,1
Latham,NY,1
Lockport,NY,1
Mamaroneck,NY,1
Mechanicville,NY,1
Middle Island,NY,1
Mt. Kisco,NY,1
New Hampton,NY,1
New Rochelle,NY,1
New York,NY,1
Newburgh,NY,1
Oakdale,NY,1
Oneida,NY,1
Oneonta,NY,1
Orchard Park,NY,1
Plattsburgh,NY,1
Potsdam,NY,1
Riverhead,NY,1
Saratoga Springs,NY,1
Schenectady,NY,1
Seaford,NY,1
Smithtown,NY,1
Staten Island,NY,1
Syracuse,NY,1
Valley Stream,NY,1
Wappingers Falls,NY,1
Watertown,NY,1
Westbury,NY,1
Williamsville,NY,1
Woodside,NY,1
Yonkers,NY,1
Yorkville,NY,1
Cincinnati,OH,3
Columbus,OH,3
Akron,OH,2
Amherst,OH,1
Athens,OH,1
Beavercreek,OH,1
Bedford,OH,1
Boardman,OH,1
Bowling Green,OH,1
Brunswick,OH,1
Canton,OH,1
Chillicothe,OH,1
Cleveland,OH,1
Cleveland Hts,OH,1
Delaware,OH,1
Dublin,OH,1
Fairfield,OH,1
Findlay,OH,1
Heath,OH,1
Jefferson,OH,1
Kent,OH,1
Lancaster,OH,1
Lima,OH,1
Mansfield,OH,1
Marietta,OH,1
Marion,OH,1
Maumee,OH,1
Mentor,OH,1
Miamisburg,OH,1
New Philadelphia,OH,1
Olmsted,OH,1
Portsmouth,OH,1
Sandusky,OH,1
Springfield,OH,1
Steubenville,OH,1
Toledo,OH,1
Vandalia,OH,1
Warren,OH,1
Washington Court House,OH,1
Wooster,OH,1
Zanesville,OH,1
Oklahoma City,OK,2
Tulsa,OK,2
Altus,OK,1
Ardmore,OK,1
Bartlesville,OK,1
Enid,OK,1
Lawton,OK,1
Midwest City,OK,1
Muskogee,OK,1
Norman,OK,1
Stillwater,OK,1
Portland,OR,2
Albany,OR,1
Beaverton,OR,1
Bend,OR,1
Coos Bay,OR,1
Corvallis,OR,1
Eugene,OR,1
Gladstone,OR,1
Grants Pass,OR,1
Gresham,OR,1
Hermiston,OR,1
Hillsboro,OR,1
Klamath Falls,OR,1
McMinnville,OR,1
Medford,OR,1
Newport,OR,1
Ontario,OR,1
Roseburg,OR,1
Salem,OR,1
Springfield,OR,1
The Dalles,OR,1
Warrenton,OR,1
Wilsonville,OR,1
Harrisburg,PA,2
Pittsburgh,PA,2
Allentown,PA,1
Ardmore,PA,1
Bradford,PA,1
Breinigsville,PA,1
Butler,PA,1
Canonsburg,PA,1
Chambersburg,PA,1
Conshohocken,PA,1
Doylestown,PA,1
Dubois,PA,1
Easton,PA,1
Erie,PA,1
Franklin,PA,1
Glen Mills,PA,1
Glenside,PA,1
Greensburg,PA,1
Hamburg,PA,1
Hanover,PA,1
Hatfield,PA,1
Hazleton,PA,1
Hermitage,PA,1
Hollidaysburg,PA,1
Huntingdon,PA,1
Indiana,PA,1
Johnstown,PA,1
Langhorne,PA,1
Lebanon,PA,1
Lewistown,PA,1
Limerick,PA,1
Malvern,PA,1
Mars,PA,1
Meadville,PA,1
Mechanicsburg,PA,1
Monroeville,PA,1
Moon Township,PA,1
Muncy,PA,1
New Castle,PA,1
New Holland,PA,1
Petersburg,PA,1
Philadelphia,PA,1
Pleasant Hills,PA,1
Sayre,PA,1
Scranton,PA,1
Selinsgrove,PA,1
Sinking Spring,PA,1
Springfield,PA,1
State College,PA,1
Stroudsburg,PA,1
Thorndale,PA,1
Trevose,PA,1
Uniontown,PA,1
Wilkes Barre,PA,1
York,PA,1
Kingstown,RI,1
Middletown,RI,1
Providence,RI,1
Smithfield,RI,1
Warwick,RI,1
Westerly,RI,1
Charleston,SC,2
Columbia,SC,2
Anderson,SC,1
Augusta,SC,1
Beaufort,SC,1
Bluffton,SC,1
Easley,SC,1
Florence,SC,1
Greenville,SC,1
Greenwood,SC,1
Greer,SC,1
Irmo,SC,1
Lugoff,SC,1
Myrtle Beach,SC,1
Orangeburg,SC,1
Rock Hill,SC,1
Spartanburg,SC,1
Sumter,SC,1
Aberdeen,SD,1
Pierre,SD,1
Rapid City,SD,1
Sioux Falls,SD,1
Watertown,SD,1
Memphis,TN,2
Alcoa,TN,1
Bristol,TN,1
Chattanooga,TN,1
Clarksville,TN,1
Clinton,TN,1
Columbia,TN,1
Cookeville,TN,1
Cordova,TN,1
Dyersburg,TN,1
Fayetteville,TN,1
Franklin,TN,1
Gallatin,TN,1
Jackson,TN,1
Johnson City,TN,1
Kingsport,TN,1
Knoxville,TN,1
Madison,TN,1
Manchester,TN,1
McDonald,TN,1
Morristown,TN,1
Murfreesboro,TN,1
Nashville,TN,1
Paris,TN,1
Houston,TX,6
San Antonio,TX,5
Dallas,TX,4
Arlington,TX,2
Austin,TX,2
Corpus Christi,TX,2
El Paso,TX,2
Abilene,TX,1
Amarillo,TX,1
Angleton,TX,1
Bastrop,TX,1
Baytown,TX,1
Beaumont,TX,1
Boerne,TX,1
Brenham,TX,1
Brownsville,TX,1
Bryan,TX,1
Burleson,TX,1
Cedar Park,TX,1
Conroe,TX,1
Corsicana,TX,1
Del Rio,TX,1
Denison,TX,1
Denton,TX,1
Early,TX,1
Fort Worth,TX,1
Galveston,TX,1
Granbury,TX,1
Grapevine,TX,1
Harlingen,TX,1
Hudson Oaks,TX,1
Humble,TX,1
Huntsville,TX,1
Hurst,TX,1
Irving,TX,1
Katy,TX,1
Killeen,TX,1
Laredo,TX,1
League City,TX,1
Lewisville,TX,1
Longview,TX,1
Lubbock,TX,1
Lufkin,TX,1
Manvel,TX,1
Marshall,TX,1
McKinney,TX,1
Midland,TX,1
Mt. Pleasant,TX,1
Nash,TX,1
Nederland,TX,1
Odessa,TX,1
Orange,TX,1
Palestine,TX,1
Pampa,TX,1
Paris,TX,1
Pharr,TX,1
Plano,TX,1
Prosper,TX,1
Richardson,TX,1
Richmond,TX,1
Rockwall,TX,1
Round Rock,TX,1
San Angelo,TX,1
San Marcos,TX,1
Silsbee,TX,1
Spring,TX,1
Temple,TX,1
Tyler,TX,1
Victoria,TX,1
Waco,TX,1
Wichita Falls,TX,1
Bountiful,UT,1
Draper,UT,1
Logan,UT,1
Murray,UT,1
Orem,UT,1
Riverdale,UT,1
Salt Lake City,UT,1
St. George,UT,1
Chesapeake,VA,2
Virginia Beach,VA,2
Alexandria,VA,1
Arlington,VA,1
Chantilly,VA,1
Charlottesville,VA,1
Chester,VA,1
Christiansburg,VA,1
Culpeper,VA,1
Danville,VA,1
Fairfax,VA,1
Falls Church,VA,1
Farmville,VA,1
Fredericksburg,VA,1
Gloucester,VA,1
Hampton,VA,1
Harrisonburg,VA,1
Leesburg,VA,1
Lynchburg,VA,1
Manassas,VA,1
Mechanicsville,VA,1
Midlothian,VA,1
Newport News,VA,1
Richmond,VA,1
Roanoke,VA,1
Springfield,VA,1
Stafford,VA,1
Stanleytown,VA,1
Staunton,VA,1
Vienna,VA,1
Warrenton,VA,1
Williamsburg,VA,1
Winchester,VA,1
Woodbridge,VA,1
Bennington,VT,1
Berlin,VT,1
Burlington,VT,1
Rutland,VT,1
St. Albans,VT,1
Westminster,VT,1
White River Junction,VT,1
Seattle,WA,2
Tacoma,WA,2
Aberdeen,WA,1
Auburn,WA,1
Bellevue,WA,1
Bellingham,WA,1
Bremerton,WA,1
Burien,WA,1
Burlington,WA,1
Chehalis,WA,1
Colville,WA,1
Edmonds,WA,1
Everett,WA,1
Kelso,WA,1
Kennewick,WA,1
Kirkland,WA,1
Marysville,WA,1
Moses Lake,WA,1
Port Angeles,WA,1
Pullman,WA,1
Puyallup,WA,1
Renton,WA,1
Spokane,WA,1
Spokane Valley,WA,1
Tumwater,WA,1
Union Gap,WA,1
Vancouver,WA,1
Walla Walla,WA,1
Wenatchee,WA,1
Madison,WI,2
Milwaukee,WI,2
Allis,WI,1
Appleton,WI,1
Ashland,WI,1
Bend,WI,1
Brookfield,WI,1
Chippewa Falls,WI,1
Glendale,WI,1
Green Bay,WI,1
Janesville,WI,1
Kenosha,WI,1
La Crosse,WI,1
Monroe,WI,1
Mount Pleasant,WI,1
Oshkosh,WI,1
Plover,WI,1
Rhinelander,WI,1
Sheboygan,WI,1
Superior,WI,1
Wausau,WI,1
Barboursville,WV,1
Beckley,WV,1
Buckhannon,WV,1
Chapmanville,WV,1
Charleston,WV,1
Martinsburg,WV,1
Morgantown,WV,1
Parkersburg,WV,1
Princeton,WV,1
Saint Albans,WV,1
Triadelphia,WV,1
White Hall,WV,1
Casper,WY,1
Cheyenne,WY,1
Lander,WY,1
Laramie,WY,1
Powell,WY,1
Rock Springs,WY,1
Sheridan,WY,1
